locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMLADGDC_00036	CDS	462				hypothetical protein
PMLADGDC_00037	CDS	387				hypothetical protein
PMLADGDC_00038	CDS	519				hypothetical protein
PMLADGDC_00039	CDS	2190				hypothetical protein
PMLADGDC_00040	CDS	447				hypothetical protein
PMLADGDC_00041	CDS	4080	rhsA	3.1.-.-	COG3209	putative deoxyribonuclease RhsA
PMLADGDC_00042	CDS	447				hypothetical protein
PMLADGDC_00043	CDS	411				hypothetical protein
PMLADGDC_00044	CDS	276	symE_1	3.1.-.-		Endoribonuclease SymE
PMLADGDC_00045	CDS	222				hypothetical protein
PMLADGDC_00046	CDS	279				IS3 family transposase IS1351
PMLADGDC_00047	CDS	132				hypothetical protein
PMLADGDC_00048	CDS	498				hypothetical protein
PMLADGDC_00049	CDS	738	caf1M		COG3121	Chaperone protein caf1M
PMLADGDC_00050	CDS	2511	caf1A		COG3188	F1 capsule-anchoring protein
PMLADGDC_00051	CDS	471	afaD			Protein AfaD
PMLADGDC_00052	CDS	807	pgaB	3.5.1.-	COG0726	Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
PMLADGDC_00053	CDS	624				hypothetical protein
PMLADGDC_00054	CDS	948	dmlR_2			HTH-type transcriptional regulator DmlR
PMLADGDC_00055	CDS	720	pagN		COG3637	Outer membrane protein PagN
PMLADGDC_00056	CDS	408				hypothetical protein
PMLADGDC_00057	CDS	768	yafV	3.5.1.3		Omega-amidase YafV
PMLADGDC_00058	CDS	2445	fadE	1.3.8.7	COG1960	Acyl-coenzyme A dehydrogenase
PMLADGDC_00059	CDS	579	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
PMLADGDC_00060	CDS	768	yafJ	2.4.2.-	COG0121	Putative glutamine amidotransferase YafJ
PMLADGDC_00061	CDS	741				hypothetical protein
PMLADGDC_00062	CDS	1056	dinB	2.7.7.7	COG0389	DNA polymerase IV
PMLADGDC_00063	CDS	1140	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
PMLADGDC_00064	CDS	615	prfB_1		COG1186	Peptide chain release factor RF2
PMLADGDC_00065	CDS	1458	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
PMLADGDC_00066	CDS	459	gpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
PMLADGDC_00067	CDS	1245				hypothetical protein
PMLADGDC_00068	CDS	402	crl			Sigma factor-binding protein Crl
PMLADGDC_00069	CDS	1053	phoE		COG3203	Outer membrane porin PhoE
PMLADGDC_00070	CDS	1104	proB	2.7.2.11	COG0263	Glutamate 5-kinase
PMLADGDC_00071	CDS	1251	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
PMLADGDC_00072	tRNA	76				tRNA-Thr(cgt)
PMLADGDC_00073	CDS	1191	intS		COG0582	Prophage integrase IntS
PMLADGDC_00074	CDS	825				hypothetical protein
PMLADGDC_00075	CDS	300				hypothetical protein
PMLADGDC_00076	CDS	177				hypothetical protein
PMLADGDC_00077	CDS	360				hypothetical protein
PMLADGDC_00078	CDS	285				hypothetical protein
PMLADGDC_00079	CDS	384				hypothetical protein
PMLADGDC_00080	CDS	2673				hypothetical protein
PMLADGDC_00081	CDS	762				hypothetical protein
PMLADGDC_00082	CDS	273				hypothetical protein
PMLADGDC_00083	CDS	1278				hypothetical protein
PMLADGDC_00084	CDS	2019				hypothetical protein
PMLADGDC_00085	CDS	402				hypothetical protein
PMLADGDC_00086	CDS	414				hypothetical protein
PMLADGDC_00087	CDS	369	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
PMLADGDC_00088	CDS	129	ddrA_2			Diol dehydratase-reactivating factor alpha subunit
PMLADGDC_00089	CDS	300				hypothetical protein
PMLADGDC_00090	CDS	1233	ynfM_1			Inner membrane transport protein YnfM
PMLADGDC_00091	CDS	1422	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
PMLADGDC_00092	CDS	627	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
PMLADGDC_00093	CDS	879				hypothetical protein
PMLADGDC_00094	CDS	915	dehH1	3.8.1.3		Haloacetate dehalogenase H-1
PMLADGDC_00095	CDS	966	dmlR_3			HTH-type transcriptional regulator DmlR
PMLADGDC_00096	CDS	273				hypothetical protein
PMLADGDC_00097	CDS	399				hypothetical protein
PMLADGDC_00098	CDS	759	yadV_1			putative fimbrial chaperone YadV
PMLADGDC_00099	CDS	1326				hypothetical protein
PMLADGDC_00100	CDS	2562	fimD_1		COG3188	Outer membrane usher protein FimD
PMLADGDC_00101	CDS	762	yadV_2			putative fimbrial chaperone YadV
PMLADGDC_00102	CDS	537	sfaA			S-fimbrial protein subunit SfaA
PMLADGDC_00103	CDS	735				hypothetical protein
PMLADGDC_00104	CDS	501				hypothetical protein
PMLADGDC_00105	CDS	1575	pdeN_1	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
PMLADGDC_00106	CDS	744				hypothetical protein
PMLADGDC_00107	CDS	489				hypothetical protein
PMLADGDC_00108	CDS	525	ail_1		COG3637	Attachment invasion locus protein
PMLADGDC_00109	CDS	528				hypothetical protein
PMLADGDC_00110	CDS	360				hypothetical protein
PMLADGDC_00111	CDS	1458	oprM		COG1538	Outer membrane protein OprM
PMLADGDC_00112	CDS	3168	oqxB15			multidrug efflux RND transporter permease subunit OqxB15
PMLADGDC_00113	CDS	1227	bepF			Efflux pump periplasmic linker BepF
PMLADGDC_00114	CDS	2289	actP_1	7.2.2.9		Copper-transporting P-type ATPase
PMLADGDC_00115	CDS	465	hmrR			HTH-type transcriptional regulator HmrR
PMLADGDC_00116	CDS	195				hypothetical protein
PMLADGDC_00117	CDS	114				hypothetical protein
PMLADGDC_00118	CDS	1254	yjhB_1			Putative metabolite transport protein YjhB
PMLADGDC_00119	CDS	1959				hypothetical protein
PMLADGDC_00120	CDS	2973				hypothetical protein
PMLADGDC_00121	CDS	102				hypothetical protein
PMLADGDC_00122	CDS	1404				hypothetical protein
PMLADGDC_00123	CDS	1011	appB_1	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
PMLADGDC_00124	CDS	132				hypothetical protein
PMLADGDC_00125	CDS	1005	rhaR_1			HTH-type transcriptional activator RhaR
PMLADGDC_00126	CDS	2091	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
PMLADGDC_00127	CDS	633	rhtC_1		COG1280	Threonine efflux protein
PMLADGDC_00128	CDS	276				hypothetical protein
PMLADGDC_00129	CDS	1626	prpR		COG1221	Propionate catabolism operon regulatory protein
PMLADGDC_00130	CDS	888	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
PMLADGDC_00131	CDS	1170	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
PMLADGDC_00132	CDS	1452	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
PMLADGDC_00133	CDS	1887	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
PMLADGDC_00134	CDS	975	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
PMLADGDC_00135	CDS	3012				hypothetical protein
PMLADGDC_00136	CDS	624	iprA_1			Inhibitor of hydrogen peroxide resistance
PMLADGDC_00137	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
PMLADGDC_00138	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
PMLADGDC_00139	CDS	1095				hypothetical protein
PMLADGDC_00140	CDS	309	yaiY			Inner membrane protein YaiY
PMLADGDC_00141	CDS	216				hypothetical protein
PMLADGDC_00142	CDS	1113	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
PMLADGDC_00143	CDS	684				hypothetical protein
PMLADGDC_00144	CDS	1212	sbnD_1			Staphyloferrin B transporter
PMLADGDC_00145	CDS	261	iraP			Anti-adapter protein IraP
PMLADGDC_00146	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
PMLADGDC_00147	CDS	1113	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
PMLADGDC_00148	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PMLADGDC_00149	CDS	456				hypothetical protein
PMLADGDC_00150	CDS	546	aroL	2.7.1.71	COG0703	Shikimate kinase 2
PMLADGDC_00151	CDS	192	yaiA			putative protein YaiA
PMLADGDC_00152	CDS	678				hypothetical protein
PMLADGDC_00153	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
PMLADGDC_00154	CDS	912	rdgC		COG2974	Recombination-associated protein RdgC
PMLADGDC_00155	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
PMLADGDC_00156	CDS	1173	araJ		COG2814	Putative transporter AraJ
PMLADGDC_00157	CDS	3141	sbcC		COG0419	Nuclease SbcCD subunit C
PMLADGDC_00158	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
PMLADGDC_00159	CDS	690	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
PMLADGDC_00160	CDS	1296	phoR	2.7.13.3		Phosphate regulon sensor protein PhoR
PMLADGDC_00161	CDS	1320	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
PMLADGDC_00162	CDS	1371	proY		COG1113	Proline-specific permease ProY
PMLADGDC_00163	CDS	1818	malZ	3.2.1.20	COG0366	Maltodextrin glucosidase
PMLADGDC_00164	CDS	603	ahpC_1	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
PMLADGDC_00165	CDS	582	acpH	3.1.4.14	COG3124	Acyl carrier protein phosphodiesterase
PMLADGDC_00166	CDS	1065	queA_1	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
PMLADGDC_00167	CDS	1128	tgt	2.4.2.29	COG0343	Queuine tRNA-ribosyltransferase
PMLADGDC_00168	CDS	333	yajC		COG1862	Sec translocon accessory complex subunit YajC
PMLADGDC_00169	CDS	1815	secD		COG0342	Protein translocase subunit SecD
PMLADGDC_00170	CDS	972	secF		COG0341	Protein translocase subunit SecF
PMLADGDC_00171	CDS	366				hypothetical protein
PMLADGDC_00172	CDS	693				hypothetical protein
PMLADGDC_00173	CDS	348				hypothetical protein
PMLADGDC_00174	CDS	108	ldrA			Small toxic polypeptide LdrA
PMLADGDC_00175	CDS	864	tsx		COG3248	Nucleoside-specific channel-forming protein Tsx
PMLADGDC_00176	CDS	540	yajI			putative lipoprotein YajI
PMLADGDC_00177	CDS	450	nrdR		COG1327	Transcriptional repressor NrdR
PMLADGDC_00178	CDS	1104	ribD		COG0117	Riboflavin biosynthesis protein RibD
PMLADGDC_00179	CDS	471	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
PMLADGDC_00180	CDS	420	nusB		COG0781	Transcription antitermination protein NusB
PMLADGDC_00181	CDS	981	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
PMLADGDC_00182	CDS	516	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
PMLADGDC_00183	CDS	816	yajO	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
PMLADGDC_00184	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
PMLADGDC_00185	CDS	900	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
PMLADGDC_00186	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
PMLADGDC_00187	CDS	1449	thiI	2.8.1.4	COG0301	tRNA sulfurtransferase
PMLADGDC_00188	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
PMLADGDC_00189	CDS	870	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
PMLADGDC_00190	CDS	1110	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
PMLADGDC_00191	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
PMLADGDC_00192	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
PMLADGDC_00193	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
PMLADGDC_00194	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
PMLADGDC_00195	CDS	591	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
PMLADGDC_00196	CDS	912	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
PMLADGDC_00197	CDS	492				hypothetical protein
PMLADGDC_00198	CDS	1365	yajR		COG0477	Inner membrane transport protein YajR
PMLADGDC_00199	CDS	1512				hypothetical protein
PMLADGDC_00200	CDS	1494				hypothetical protein
PMLADGDC_00201	CDS	891	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
PMLADGDC_00202	CDS	330	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
PMLADGDC_00203	CDS	615	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
PMLADGDC_00204	CDS	1992	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
PMLADGDC_00205	CDS	957	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
PMLADGDC_00206	CDS	1482	ampG		COG0477	Anhydromuropeptide permease
PMLADGDC_00207	CDS	633				hypothetical protein
PMLADGDC_00208	CDS	315	bolA		COG0271	DNA-binding transcriptional regulator BolA
PMLADGDC_00209	CDS	1299	tig	5.2.1.8	COG0544	Trigger factor
PMLADGDC_00210	CDS	624	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
PMLADGDC_00211	CDS	1272	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
PMLADGDC_00212	CDS	2355	lon_1	3.4.21.53	COG0466	Lon protease
PMLADGDC_00213	CDS	273	hupB		COG0776	DNA-binding protein HU-beta
PMLADGDC_00214	CDS	1872	ppiD	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase D
PMLADGDC_00215	CDS	375			COG1555	putative protein
PMLADGDC_00216	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
PMLADGDC_00217	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
PMLADGDC_00218	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
PMLADGDC_00219	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
PMLADGDC_00220	CDS	1056	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
PMLADGDC_00221	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
PMLADGDC_00222	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
PMLADGDC_00223	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
PMLADGDC_00224	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
PMLADGDC_00225	CDS	1287	amtB			Ammonia channel
PMLADGDC_00226	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
PMLADGDC_00227	CDS	570	ybaY		COG3126	putative lipoprotein YbaY
PMLADGDC_00228	CDS	312	atl		COG3695	DNA base-flipping protein
PMLADGDC_00229	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
PMLADGDC_00230	CDS	261	rpmE2		COG0254	50S ribosomal protein L31 type B
PMLADGDC_00231	CDS	471	ylaC			Inner membrane protein YlaC
PMLADGDC_00232	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
PMLADGDC_00233	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
PMLADGDC_00234	CDS	375	tomB			Hha toxicity modulator TomB
PMLADGDC_00235	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
PMLADGDC_00236	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
PMLADGDC_00237	CDS	654	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
PMLADGDC_00238	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
PMLADGDC_00239	CDS	924				ISNCY family transposase ISRor2
PMLADGDC_00240	CDS	168				hypothetical protein
PMLADGDC_00241	CDS	516	priC		COG3923	Primosomal replication protein N''
PMLADGDC_00242	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
PMLADGDC_00243	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
PMLADGDC_00244	CDS	1929	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
PMLADGDC_00245	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
PMLADGDC_00246	CDS	606	recR		COG0353	Recombination protein RecR
PMLADGDC_00247	CDS	1875	htpG		COG0326	Chaperone protein HtpG
PMLADGDC_00248	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
PMLADGDC_00249	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
PMLADGDC_00250	CDS	972	aes	3.1.1.-	COG0657	Acetyl esterase
PMLADGDC_00251	CDS	1350	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
PMLADGDC_00252	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
PMLADGDC_00253	CDS	126				hypothetical protein
PMLADGDC_00254	CDS	1221	fsr			Fosmidomycin resistance protein
PMLADGDC_00255	CDS	1653	ushA		COG0737	Protein UshA
PMLADGDC_00256	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
PMLADGDC_00257	CDS	795				hypothetical protein
PMLADGDC_00258	CDS	828				hypothetical protein
PMLADGDC_00259	CDS	2502	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
PMLADGDC_00260	CDS	417	cueR		COG0789	HTH-type transcriptional regulator CueR
PMLADGDC_00261	CDS	453	ybbJ		COG1585	Inner membrane protein YbbJ
PMLADGDC_00262	CDS	918	qmcA		COG0330	Protein QmcA
PMLADGDC_00263	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
PMLADGDC_00264	CDS	780	fetB		COG0390	putative iron export permease protein FetB
PMLADGDC_00265	CDS	855	cnoX		COG3118	Chaperedoxin
PMLADGDC_00266	CDS	771				hypothetical protein
PMLADGDC_00267	CDS	585	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
PMLADGDC_00268	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
PMLADGDC_00269	CDS	2415				hypothetical protein
PMLADGDC_00270	CDS	105				hypothetical protein
PMLADGDC_00271	CDS	1134				hypothetical protein
PMLADGDC_00272	CDS	831	metQ_1		COG1464	D-methionine-binding lipoprotein MetQ
PMLADGDC_00273	CDS	1017	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
PMLADGDC_00274	CDS	660	metP		COG2011	Methionine import system permease protein MetP
PMLADGDC_00275	CDS	1095	selU	2.5.1.-	COG2603	tRNA 2-selenouridine synthase
PMLADGDC_00276	CDS	927	allS_1			HTH-type transcriptional activator AllS
PMLADGDC_00277	CDS	483	allA	4.3.2.3	COG3194	Ureidoglycolate lyase
PMLADGDC_00278	CDS	819	allR		COG1414	HTH-type transcriptional repressor AllR
PMLADGDC_00279	CDS	1782	gcl	4.1.1.47	COG3960	Glyoxylate carboligase
PMLADGDC_00280	CDS	777	hyi	5.3.1.22	COG3622	Hydroxypyruvate isomerase
PMLADGDC_00281	CDS	879	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
PMLADGDC_00282	CDS	1248	sauU_1			putative sulfoacetate transporter SauU
PMLADGDC_00283	CDS	1455	ybbW		COG1953	Putative allantoin permease
PMLADGDC_00284	CDS	1362	allB	3.5.2.5	COG0044	Allantoinase
PMLADGDC_00285	CDS	1299	ybbY		COG2233	Putative purine permease YbbY
PMLADGDC_00286	CDS	1149	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
PMLADGDC_00287	CDS	786	allE	3.5.3.26	COG3257	(S)-ureidoglycine aminohydrolase
PMLADGDC_00288	CDS	1236	allC	3.5.3.9	COG0624	Allantoate amidohydrolase
PMLADGDC_00289	CDS	1050	allD	1.1.1.350	COG2055	Ureidoglycolate dehydrogenase (NAD(+))
PMLADGDC_00290	CDS	1665	fdrA		COG0074	Protein FdrA
PMLADGDC_00291	CDS	1260				hypothetical protein
PMLADGDC_00292	CDS	810				hypothetical protein
PMLADGDC_00293	CDS	894	arcC2	2.7.2.2		Carbamate kinase 2
PMLADGDC_00294	CDS	1068	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
PMLADGDC_00295	CDS	510	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
PMLADGDC_00296	CDS	723	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
PMLADGDC_00297	CDS	495	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
PMLADGDC_00298	CDS	1386	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PMLADGDC_00299	CDS	825				hypothetical protein
PMLADGDC_00300	CDS	438				hypothetical protein
PMLADGDC_00301	CDS	546	ybcI		COG1988	Inner membrane protein YbcI
PMLADGDC_00302	CDS	213	ybcJ		COG2501	putative protein YbcJ
PMLADGDC_00303	CDS	867	folD		COG0190	Bifunctional protein FolD protein
PMLADGDC_00304	CDS	558	fimA_1			Type-1 fimbrial protein, A chain
PMLADGDC_00305	CDS	534	fimA_2			Type-1 fimbrial protein, A chain
PMLADGDC_00306	CDS	693	sfmC_1			putative fimbrial chaperone SfmC
PMLADGDC_00307	CDS	2613	sfmD		COG3188	Outer membrane usher protein SfmD
PMLADGDC_00308	CDS	1008	sfmH_1			putative fimbrial-like protein SfmH
PMLADGDC_00309	CDS	519	sfmF			putative fimbrial-like protein SfmF
PMLADGDC_00310	CDS	633	bvgA			Virulence factors putative positive transcription regulator BvgA
PMLADGDC_00311	CDS	723				hypothetical protein
PMLADGDC_00312	CDS	597				hypothetical protein
PMLADGDC_00313	tRNA	77				tRNA-Arg(tct)
PMLADGDC_00314	CDS	1812				hypothetical protein
PMLADGDC_00315	CDS	921	yfdH_1	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
PMLADGDC_00316	CDS	363	yfdG		COG2246	Prophage bactoprenol-linked glucose translocase 
PMLADGDC_00317	CDS	330	cusS	2.7.13.3	COG0642	Sensor histidine kinase CusS
PMLADGDC_00318	CDS	855	rclR		COG2207	RCS-specific HTH-type transcriptional activator RclR
PMLADGDC_00319	CDS	1326	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
PMLADGDC_00320	CDS	237	rclB			putative protein RclB
PMLADGDC_00321	CDS	561	rclC		COG3059	Inner membrane protein RclC
PMLADGDC_00322	CDS	1176				hypothetical protein
PMLADGDC_00323	CDS	1395	pheP		COG1113	Phenylalanine-specific permease
PMLADGDC_00324	CDS	1248	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
PMLADGDC_00325	CDS	1971	lip-1	3.1.1.3		Lipase 1
PMLADGDC_00326	CDS	654	nfsB	1.-.-.-	COG0778	Oxygen-insensitive NAD(P)H nitroreductase
PMLADGDC_00327	CDS	369				hypothetical protein
PMLADGDC_00328	CDS	582	betI_1			HTH-type transcriptional regulator BetI
PMLADGDC_00329	CDS	342	marA_1			Multiple antibiotic resistance protein MarA
PMLADGDC_00330	CDS	249				hypothetical protein
PMLADGDC_00331	CDS	1119	ybdK	6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
PMLADGDC_00332	CDS	705				hypothetical protein
PMLADGDC_00333	CDS	2256	fepA		COG4771	Ferrienterobactin receptor
PMLADGDC_00334	CDS	1215	fes_1		COG2382	Enterochelin esterase
PMLADGDC_00335	CDS	219	ybdZ		COG3251	Enterobactin biosynthesis protein YbdZ
PMLADGDC_00336	CDS	3885	entF	2.7.7.-	COG1020	Enterobactin synthase component F
PMLADGDC_00337	CDS	1137	fepE		COG3765	Ferric enterobactin transport protein FepE
PMLADGDC_00338	CDS	795	fepC		COG1120	Ferric enterobactin transport ATP-binding protein FepC
PMLADGDC_00339	CDS	990	fepG		COG4779	Ferric enterobactin transport system permease protein FepG
PMLADGDC_00340	CDS	1008	fepD		COG0609	Ferric enterobactin transport system permease protein FepD
PMLADGDC_00341	CDS	1245	entS		COG0477	Enterobactin exporter EntS
PMLADGDC_00342	CDS	957	fepB		COG4592	Ferrienterobactin-binding periplasmic protein
PMLADGDC_00343	CDS	1176	entC	5.4.4.2	COG1169	Isochorismate synthase EntC
PMLADGDC_00344	CDS	1611	entE	6.3.2.14	COG1021	Enterobactin synthase component E
PMLADGDC_00345	CDS	858	entB	6.3.2.14	COG1535	Enterobactin synthase component B
PMLADGDC_00346	CDS	756	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
PMLADGDC_00347	CDS	414	entH	3.1.2.-	COG2050	Proofreading thioesterase EntH
PMLADGDC_00348	CDS	2106	cstA		COG1966	Peptide transporter CstA
PMLADGDC_00349	CDS	198				hypothetical protein
